Модель;Магазин;Ссылка;Селектор;Категория
iPh 17 Pro Max 256 Blue EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-256gb-deep-blue-mfyp4-73406/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 256 White EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-256gb-silver-mfym4-73407/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 256 Orange EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-256-gb-orange-now-73405/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 512 Blue EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-512gb-deep-blue-mfyu4-73411/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 512 White EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-512gb-silver-mfyq4-73413/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 512 Orange EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-512-gb-orange-now-73412/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 1TB Blue EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-deep-blue-mfyx4-73402/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 1TB White EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-silver-mfyv4-73404/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 1TB Orange EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-cosmic-orange-mfyw4-73403/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 2TB Blue EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-deep-blue-mg014-73408/;"div[class*=""__priceSale""]";17 PM 2TB
iPh 17 Pro Max 2TB White EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-silver-mfyy4-73410/;"div[class*=""__priceSale""]";17 PM 2TB
iPh 17 Pro Max 2TB Orange EU;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-cosmic-orange-mg004-73409/;"div[class*=""__priceSale""]";17 PM 2TB
iPh 17 Pro Max 256 Blue eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-256gb-deep-blue-e-sim-mfxj4-73504/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 256 White eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-256gb-silver-e-sim-mfxg4-73505/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 256 Orange eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-256gb-cosmic-orange-e-sim-mfxh4-73477/;"div[class*=""__priceSale""]";17 PM 256
iPh 17 Pro Max 512 Blue eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-512gb-deep-blue-e-sim-mfxm4-73509/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 512 White eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-512gb-silver-e-sim-mfxk4-73510/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 512 Orange eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-512gb-cosmic-orange-e-sim-mfxl4-73478/;"div[class*=""__priceSale""]";17 PM 512
iPh 17 Pro Max 1TB Blue eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-deep-blue-mfyx4-73402/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 1TB White eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-silver-e-sim-mfxn4-73503/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 1TB Orange eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-1tb-cosmic-orange-e-sim-mfxp4-73501/;"div[class*=""__priceSale""]";17 PM 1TB
iPh 17 Pro Max 2TB Blue eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-deep-blue-mg014-73408/;"div[class*=""__priceSale""]";17 PM 2TB
iPh 17 Pro Max 2TB White eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-silver-mfyy4-73410/;"div[class*=""__priceSale""]";17 PM 2TB
iPh 17 Pro Max 2TB Orange eSim;Yablyka;https://ya.ua/product/iphone-17-pro-max-2tb-cosmic-orange-mg004-73409/;"div[class*=""__priceSale""]";17 PM 2TB
